Date : 2023-05-24 16:51:07
Directory : /Users/elijahlawson/Desktop/Prime/divvy-tips
Total : 62 files,  2191 codes, 197 comments, 447 blanks, all 2835 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         16 |        960 |         20 |        192 |      1,172 |
| JavaScript     |         36 |        786 |        155 |        186 |      1,127 |
| JSON           |          3 |        194 |          0 |          2 |        196 |
| Markdown       |          3 |        104 |          0 |         40 |        144 |
| CSS            |          1 |         82 |         13 |         18 |        113 |
| SQL            |          1 |         34 |          4 |          6 |         44 |
| YAML           |          1 |         16 |          5 |          1 |         22 |
| HTML           |          1 |         15 |          0 |          2 |         17 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         62 |      2,191 |        197 |        447 |      2,835 |
| . (Files)                                                                                           |          7 |        332 |          4 |         48 |        384 |
| .github                                                                                             |          1 |         16 |          5 |          1 |         22 |
| public                                                                                              |          1 |         15 |          0 |          2 |         17 |
| server                                                                                              |         14 |        399 |         83 |         97 |        579 |
| server (Files)                                                                                      |          1 |         28 |          8 |         11 |         47 |
| server/constants                                                                                    |          1 |         17 |          0 |          7 |         24 |
| server/modules                                                                                      |          4 |         59 |         39 |         18 |        116 |
| server/routes                                                                                       |          7 |        251 |         20 |         55 |        326 |
| server/strategies                                                                                   |          1 |         44 |         16 |          6 |         66 |
| src                                                                                                 |         39 |      1,429 |        105 |        299 |      1,833 |
| src (Files)                                                                                         |          1 |         13 |          0 |          5 |         18 |
| src/components                                                                                      |         17 |      1,042 |         33 |        210 |      1,285 |
| src/components/AddTips                                                                              |          1 |        138 |          0 |         22 |        160 |
| src/components/App                                                                                  |          2 |        154 |         13 |         39 |        206 |
| src/components/BarRegister                                                                          |          1 |        104 |          0 |          9 |        113 |
| src/components/DrawersSetup                                                                         |          1 |         46 |          0 |         12 |         58 |
| src/components/HoursConfirmation                                                                    |          1 |         59 |          0 |         13 |         72 |
| src/components/LandingPage                                                                          |          1 |         38 |          0 |         11 |         49 |
| src/components/LogOutButton                                                                         |          1 |         14 |          3 |          2 |         19 |
| src/components/LoginPage                                                                            |          1 |         65 |          0 |          6 |         71 |
| src/components/NavBar                                                                               |          1 |         16 |          0 |          3 |         19 |
| src/components/ProtectedRoute                                                                       |          1 |         20 |         15 |          7 |         42 |
| src/components/ShiftSetup                                                                           |          1 |         64 |          0 |         14 |         78 |
| src/components/TipConfirmation                                                                      |          1 |         19 |          0 |          5 |         24 |
| src/components/TipOutPage                                                                           |          1 |         90 |          0 |         21 |        111 |
| src/components/TipsConfirmation                                                                     |          1 |         58 |          2 |         14 |         74 |
| src/components/UserPage                                                                             |          1 |         54 |          0 |         14 |         68 |
| src/components/UserRegister                                                                         |          1 |        103 |          0 |         18 |        121 |
| src/hooks                                                                                           |          1 |          5 |         10 |          6 |         21 |
| src/redux                                                                                           |         20 |        369 |         62 |         78 |        509 |
| src/redux (Files)                                                                                   |          1 |         15 |          8 |          6 |         29 |
| src/redux/reducers                                                                                  |          9 |        117 |         14 |         16 |        147 |
| src/redux/sagas                                                                                     |         10 |        237 |         40 |         56 |        333 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                            | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/elijahlawson/Desktop/Prime/divvy-tips/.github/dependabot.yml                                 | YAML           |         16 |          5 |          1 |         22 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/Notes.md                                               | Markdown       |         10 |          0 |          0 |         10 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/PostmanPrimeSoloRoutes.json                            | JSON           |         77 |          0 |          0 |         77 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/PostmanPrimeSoloRoutesv2.json                          | JSON           |         62 |          0 |          1 |         63 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/README.md                                              | Markdown       |         83 |          0 |         39 |        122 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/TODO.md                                                | Markdown       |         11 |          0 |          1 |         12 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/database.sql                                           | SQL            |         34 |          4 |          6 |         44 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/package.json                                           | JSON           |         55 |          0 |          1 |         56 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/public/index.html                                      | HTML           |         15 |          0 |          2 |         17 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/constants/warnings.js                           | JavaScript     |         17 |          0 |          7 |         24 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/modules/authentication-middleware.js            | JavaScript     |          8 |          4 |          2 |         14 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/modules/encryption.js                           | JavaScript     |         13 |         10 |          6 |         29 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/modules/pool.js                                 | JavaScript     |         18 |         14 |          4 |         36 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/modules/session-middleware.js                   | JavaScript     |         20 |         11 |          6 |         37 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/bar.router.js                            | JavaScript     |         49 |          1 |          7 |         57 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/drawers.router.js                        | JavaScript     |         30 |          0 |          6 |         36 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/hours.router.js                          | JavaScript     |         23 |          0 |          5 |         28 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/shift.router.js                          | JavaScript     |         49 |          0 |         10 |         59 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/template.router.js                       | JavaScript     |          8 |          8 |          4 |         20 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/tips.router.js                           | JavaScript     |         55 |          0 |         13 |         68 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/user.router.js                           | JavaScript     |         37 |         11 |         10 |         58 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/server.js                                       | JavaScript     |         28 |          8 |         11 |         47 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/strategies/user.strategy.js                     | JavaScript     |         44 |         16 |          6 |         66 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/AddTips/AddTips.jsx                     | JavaScript JSX |        138 |          0 |         22 |        160 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/App/App.css                             | CSS            |         82 |         13 |         18 |        113 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/App/App.jsx                             | JavaScript JSX |         72 |          0 |         21 |         93 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/BarRegister/BarRegister.jsx             | JavaScript JSX |        104 |          0 |          9 |        113 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/DrawersSetup/DrawersSetup.jsx           | JavaScript JSX |         46 |          0 |         12 |         58 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/HoursConfirmation/HoursConfirmation.jsx | JavaScript JSX |         59 |          0 |         13 |         72 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/LandingPage/LandingPage.jsx             | JavaScript JSX |         38 |          0 |         11 |         49 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/LogOutButton/LogOutButton.jsx           | JavaScript JSX |         14 |          3 |          2 |         19 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/LoginPage/LoginPage.jsx                 | JavaScript JSX |         65 |          0 |          6 |         71 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/NavBar/NavBar.jsx                       | JavaScript JSX |         16 |          0 |          3 |         19 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/ProtectedRoute/ProtectedRoute.jsx       | JavaScript JSX |         20 |         15 |          7 |         42 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/ShiftSetup/ShiftSetup.jsx               | JavaScript JSX |         64 |          0 |         14 |         78 |
