"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/shiftTips.router.js", "JavaScript", 31, 0, 3, 9, 43
"/Users/elijahlawson/Desktop/Prime/divvy-tips/server/server.js", "JavaScript", 2, 0, 0, 0, 2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/AddTips/AddTips.jsx", "JavaScript JSX", 0, 35, 0, 9, 44
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/NavBar/NavBar.jsx", "JavaScript JSX", 0, 0, 0, -1, -1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/UserPage/UserPage.jsx", "JavaScript JSX", 0, -2, 0, -1, -3
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/shiftTips.reducer.js", "JavaScript", 8, 0, 0, 0, 8
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/_root.saga.js", "JavaScript", 2, 0, 0, 0, 2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/shiftTips.saga.js", "JavaScript", 23, 0, 0, 4, 27
"Total", "-", 66, 33, 3, 20, 122
