"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/divvy-tips/package.json", "JSON", 0, 0, 1, 0, 0, 1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/shift.router.js", "JavaScript", 24, 0, 0, 0, 3, 27
"/Users/elijahlawson/Desktop/Prime/divvy-tips/server/server.js", "JavaScript", 2, 0, 0, 0, 0, 2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/AddTips/AddTips.jsx", "JavaScript JSX", 0, 81, 0, 0, 9, 90
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/App/App.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 4
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/UserPage/UserPage.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 8
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/_root.reducer.js", "JavaScript", 2, 0, 0, 0, 0, 2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/shifts.reducer.js", "JavaScript", 9, 0, 0, 0, 1, 10
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/_root.saga.js", "JavaScript", 2, 0, 0, 0, 0, 2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/barRegistration.saga.js", "JavaScript", -1, 0, 0, 0, -1, -2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/bars.saga.js", "JavaScript", -1, 0, 0, 0, 0, -1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/shifts.saga.js", "JavaScript", 15, 0, 0, 0, 3, 18
"Total", "-", 52, 93, 1, 0, 15, 161
