"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/EditTable/EditTable.jsx", "JavaScript JSX", 12, 0, 2, 14
"Total", "-", 12, 0, 2, 14
