"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/ShiftHistory/ShiftHistory.jsx", "JavaScript JSX", -2, 0, -1, -3
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/TipOutPage/TipOutPage.jsx", "JavaScript JSX", -2, 0, -1, -3
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/UserPage/UserPage.jsx", "JavaScript JSX", -2, 0, 0, -2
"Total", "-", -6, 0, -2, -8
