"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "SQL", "Markdown", "YAML", "HTML", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/TipOutPage/TipOutPage.jsx", "JavaScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 0, 23, 123
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/TipsConfirmation/TipsConfirmation.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 0, 0, 0, 5, 14, 73
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/UserPage/UserPage.jsx", "JavaScript JSX", 0, 53, 0, 0, 0, 0, 0, 0, 0, 13, 66
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/UserRegister/UserRegister.jsx", "JavaScript JSX", 0, 103, 0, 0, 0, 0, 0, 0, 0, 18, 121
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/hooks/useReduxStore.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 10, 6, 21
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/_root.reducer.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 5, 4, 31
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/bar.reducer.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/drawers.reducer.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/errors.reducer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 7, 4, 42
