"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/TipOutPage/TipOutPage.jsx", "JavaScript JSX", 0, 0, 0, -107, 0, 0, -19, -126
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/TipsConfirmation/TipsConfirmation.jsx", "JavaScript JSX", 0, 0, 0, -58, 0, -5, -11, -74
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/UserPage/UserPage.jsx", "JavaScript JSX", 0, 0, 0, -55, 0, 0, -11, -66
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/UserRegister/UserRegister.jsx", "JavaScript JSX", 0, 0, 0, -103, 0, 0, -18, -121
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/_root.reducer.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/bartenders.reducer.js", "JavaScript", 9, 0, 0, 0, 0, 0, 1, 10
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/shiftTips.reducer.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 4
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/shifts.reducer.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/_root.saga.js", "JavaScript", -2, 0, 0, 0, 0, 0, 0, -2
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/barRegistration.saga.js", "JavaScript", -13, 0, 0, 0, 0, 0, -4, -17
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/bars.saga.js", "JavaScript", 17, 0, 0, 0, 0, 0, 2, 19
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/hours.saga.js", "JavaScript", 10, 0, 0, 0, 0, 0, 2, 12
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/login.saga.js", "JavaScript", 1, 0, 0, 0, 0, 0, -1, 0
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/sagas/tips.saga.js", "JavaScript", 32, 0, 0, 0, 0, 0, 6, 38
"/Users/elijahlawson/Desktop/Prime/divvy-tips/tailwind.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 158, 6, 51, 269, -5, 4, 80, 563
