"filename", "language", "CSS", "JavaScript", "JSON", "SQL", "Markdown", "HTML", "YAML", "JavaScript JSX", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/App/App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/App/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 121, 0, 10, 131
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/BackButton/BackButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 5, 18
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/EditTable/EditTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 266, 1, 38, 305
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/HamburgerButton/HamburgerButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 5, 22
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/Header/Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 4, 24
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/components/ProtectedRoute/ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/hooks/useReduxStore.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 10, 6, 21
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/index.css", "CSS", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/index.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/elijahlawson/Desktop/Prime/divvy-tips/src/redux/reducers/_root.reducer.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 5, 4, 33
